Rank,Name,Nat.,Age*,Result,PaR,PcR,C2,09/15/12,Catamount Grand Prix 
1,Nicolas BAZIN,FRA,30,01:01:55 AM,40,40,,,
2,James DRISCOLL,USA,27,01:01:59 AM,30,30,,,
3,Timothy JOHNSON,USA,36,01:02:27 AM,20,20,,,
4,Dylan MCNICHOLAS,USA,33,01:03:08 AM,15,15,,,
5,Jonathan PAGE,USA,37,01:03:08 AM,10,10,,,
6,Justin LINDINE,USA,29,01:03:08 AM,8,8,,,
7,Flavien DASSONVILLE,FRA,22,01:04:17 AM,6,6,,,
8,Daniel CHABANOV,USA,26,01:04:41 AM,4,4,,,
9,Luke KEOUGH,USA,22,01:04:55 AM,2,2,,,
10,Derrick ST JOHN,CAN,36,01:05:05 AM,1,1,,,
11,Adam ST. GERMAIN,USA,29,01:05:08 AM,,,,,
12,Marc-Andre DAIGLE,CAN,32,01:05:08 AM,,,,,
13,Edward KING,USA,30,01:05:08 AM,,,,,
14,Christian FAVATA,USA,35,01:05:27 AM,,,,,
15,Dan TIMMERMAN,USA,33,01:05:38 AM,,,,,
16,Joël DESGRENIERS,CAN,23,01:05:52 AM,,,,,
17,Adam MYERSON,USA,41,01:06:03 AM,,,,,
18,Bobby BAILEY,USA,36,01:06:03 AM,,,,,
19,Jesse KEOUGH,USA,21,01:06:05 AM,,,,,
20,Kevin NOILES,CAN,33,01:06:08 AM,,,,,
21,Conor O'BRIEN,CAN,21,01:06:12 AM,,,,,
22,Evan HUFF,USA,28,01:06:28 AM,,,,,
23,Manny GOGUEN,USA,22,01:06:28 AM,,,,,
24,Synjen MARROCCO,USA,22,01:07:54 AM,,,,,
25,Jean-Philippe THIBAULT-ROBERGE,CAN,24,01:08:00 AM,,,,,
26,Jeffrey ELIE,USA,27,01:08:13 AM,,,,,
27,Kevin SWEENEY,USA,35,01:08:26 AM,,,,,
28,Charles SCHUBERT,USA,33,01:09:01 AM,,,,,
29,Michel HENRI,CAN,35,01:09:10 AM,,,,,
30,Ian SCHON,USA,23,01:09:10 AM,,,,,
31,Timothy RATTA,USA,37,01:09:10 AM,,,,,
32,Adam SULLIVAN,USA,30,01:09:21 AM,,,,,
33,Andrew LYSAGHT,USA,29, ,,,,,
34,Graham GARBER,USA,36, ,,,,,
35,Geoffrey BOUCHARD,USA,29, ,,,,,
36,Donald CUMMING,USA,29, ,,,,,
37,Joshua LEHMANN,USA,21, ,,,,,
38,Kiernan ORANGE,CAN,21, ,,,,,
39,Andrew FREYE,USA,29, ,,,,,
40,Peter MANCINI,CAN,28, ,,,,,
41,Sylvain JEAN,CAN,35, ,,,,,
42,Ethan GILMOUR,USA,24, ,,,,,
43,Alex GRABAU,USA,36, ,,,,,
44,Gordon DANIELL,USA,35,,,,,,
