Rank,Name,Nat.,Age*,Result,PaR,PcR,C2,09/16/12,Catamount Grand Prix Day 2
1,James DRISCOLL,USA,27,59:20:00,40,40,,,
2,Nicolas BAZIN,FRA,30,59:36:00,30,30,,,
3,Timothy JOHNSON,USA,36,59:42:00,20,20,,,
4,Jonathan PAGE,USA,37,01:00:00 AM,15,15,,,
5,Justin LINDINE,USA,29,01:00:13 AM,10,10,,,
6,Dylan MCNICHOLAS,USA,33,01:00:50 AM,8,8,,,
7,Shawn MILNE,USA,32,01:01:01 AM,6,6,,,
8,Flavien DASSONVILLE,FRA,22,01:01:13 AM,4,4,,,
9,Luke KEOUGH,USA,22,01:01:29 AM,2,2,,,
10,Dan TIMMERMAN,USA,33,01:01:57 AM,1,1,,,
11,Daniel CHABANOV,USA,26,01:02:04 AM,,,,,
12,Derrick ST JOHN,CAN,36,01:02:15 AM,,,,,
13,Edward KING,USA,30,01:02:37 AM,,,,,
14,Adam MYERSON,USA,41,01:02:56 AM,,,,,
15,Kevin NOILES,CAN,33,01:02:56 AM,,,,,
16,Christian FAVATA,USA,35,01:02:56 AM,,,,,
17,Adam ST. GERMAIN,USA,29,01:03:15 AM,,,,,
18,Nicholas KEOUGH,USA,24,01:03:15 AM,,,,,
19,Marc-Andre DAIGLE,CAN,32,01:03:15 AM,,,,,
20,Manny GOGUEN,USA,22,01:04:04 AM,,,,,
21,Jesse KEOUGH,USA,21,01:04:36 AM,,,,,
22,Synjen MARROCCO,USA,22,01:06:10 AM,,,,,
23,Peter MANCINI,CAN,28,01:06:21 AM,,,,,
24,Evan HUFF,USA,28,01:06:30 AM,,,,,
25,Jeffrey ELIE,USA,27,01:06:44 AM,,,,,
26,Simon LAMBERT-LEMAY,CAN,23,01:07:01 AM,,,,,
27,Timothy RATTA,USA,37,01:07:20 AM,,,,,
28,Joël DESGRENIERS,CAN,23,01:07:31 AM,,,,,
29,Andrew LYSAGHT,USA,29, ,,,,,
30,Colin REUTER,USA,31, ,,,,,
31,Charles SCHUBERT,USA,33, ,,,,,
32,Adam SULLIVAN,USA,30, ,,,,,
33,Geoffrey BOUCHARD,USA,29, ,,,,,
34,Noah TAUTFEST,USA,24, ,,,,,
35,Ethan GILMOUR,USA,24, ,,,,,
36,Benjamin PADILLA,USA,25, ,,,,,
37,Andrew FREYE,USA,29, ,,,,,
38,Ian SCHON,USA,23, ,,,,,
39,Donald CUMMING,USA,29, ,,,,,
40,Joshua LEHMANN,USA,21, ,,,,,
41,Jean-Roch MARION,CAN,29, ,,,,,
42,Kiernan ORANGE,CAN,21, ,,,,,
43,Tim JANSON,USA,26, ,,,,,
44,Conor O'BRIEN,CAN,21, ,,,,,
45,Alex GRABAU,USA,36,,,,,,
