"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2",09/30/12,"International Cyclocross Financne centrum "
1,"Martin BINA","CZE",30,01:03:02 AM,40,40,,,
2,"Ondrej BAMBULA","CZE",26,01:03:07 AM,30,30,,,
3,"Zdenek MLYNAR","CZE",37,01:03:18 AM,20,20,,,
4,"Michael BOROS","CZE",21,01:03:34 AM,15,15,,,
5,"Jakub SKALA","CZE",20,01:03:57 AM,10,10,,,
6,"Jiri POLNICKY","CZE",24,01:04:12 AM,8,8,,,
7,"Robert GAVENDA","SVK",25,01:04:39 AM,6,6,,,
8,"Milan BARENYI","SVK",39,01:04:45 AM,4,4,,,
9,"Matej LASAK","CZE",21,01:05:05 AM,2,2,,,
10,"Martin HARING","SVK",27,01:05:22 AM,1,1,,,
11,"Radek POLNICKY","CZE",21,01:05:35 AM,,,,,
12,"Filip ADEL","CZE",23,01:06:55 AM,,,,,
13,"Maros KOVAC","SVK",36,01:07:43 AM,,,,,
14,"Petr HAMPL","CZE",20,01:07:50 AM,,,,,
15,"Vojtech NIPL","CZE",20,01:07:51 AM,,,,,
16,"Karel NEPRAS","CZE",23,01:08:59 AM,,,,,
17,"Ondrej GLAJZA","SVK",19,01:09:11 AM,,,,,
18,"Tomas NOVACEK","CZE",19,01:09:21 AM,,,,,
19,"Gabor FEJES","HUN",24,01:10:06 AM,,,,,
20,"Tomáš JANOŠEK","CZE",25," ",,,,,
21,"Robert GLAJZA","SVK",42," ",,,,,
22,"Marek MICHALEC","SVK",21," ",,,,,
23,"Tomáš KUBEK","SVK",22," ",,,,,
24,"Tomas SUCHAR","SVK",21," ",,,,,
25,"Jaroslav CHALAS","SVK",21," ",,,,,
26,"Roman ZRELICA","SVK",28," ",,,,,
27,"Bystrík GROLMUS","SVK",31," ",,,,,
28,"Michal ŠOJDEL","SVK",25,,,,,,
