"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2","09/22/12","Charm City Cross - Day 1"
1,"Nicolas BAZIN","FRA",30,01:01:30,40,40,,,
2,"Ian FIELD","GBR",27,01:01:38,30,30,,,
3,"Weston SCHEMPF","USA",36,01:02:03,20,20,,,
4,"Ryan KNAPP","USA",29,01:02:09,15,15,,,
5,"Dan TIMMERMAN","USA",33,01:02:32,10,10,,,
6,"Ryan DEWALD","USA",34,01:02:32,8,8,,,
7,"Daniel CHABANOV","USA",26,01:02:56,6,6,,,
8,"Jared NIETERS","USA",36,01:03:01,4,4,,,
9,"Anthony CLARK","USA",26,01:03:04,2,2,,,
10,"Greg WITTWER","USA",30,01:03:16,1,1,,,
11,"Ben FREDERICK","USA",24,01:03:37,,,,,
12,"Stephen CUMMINGS","USA",33,01:03:52,,,,,
13,"Flavien DASSONVILLE","FRA",22,01:04:07,,,,,
14,"Chase DICKENS","USA",18,01:04:21,,,,,
15,"Robert MARION","USA",31,01:04:25,,,,,
16,"Maurice GAMANHO","USA",41,01:04:30,,,,,
17,"Gerald ADASAVAGE","USA",27,01:05:00,,,,,
18,"Josh WHITNEY","USA",32,01:05:20,,,,,
19,"Michael MIHALIK","USA",31,01:05:24,,,,,
20,"Jacob SITLER","USA",24,01:05:34,,,,,
21,"Christian FAVATA","USA",35,01:05:38,,,,,
22,"Patrick BLAIR","USA",32,01:06:12,,,,,
23,"Derek YARRA","USA",26,01:06:45,,,,,
24,"Mike FESTA","USA",30,01:07:08,,,,,
25,"Evan MURPHY","USA",25,01:07:18,,,,,
26,"Nicholas KEOUGH","USA",24,01:07:43,,,,,
27,"Kirt FITZPATRICK","USA",35,,,,,,
28,"Christopher CONSORTO","USA",29,,,,,,
29,"Andy BROOKS","USA",27,,,,,,
30,"Brett ROTHMEYER","USA",36,,,,,,
31,"Justin CRAWFORD","USA",24,,,,,,
32,"Michael GREEN","USA",34,,,,,,
33,"Thomas SAMPSON","USA",24,,,,,,
34,"Timothy RUGG","USA",28,,,,,,
35,"Craig LEBAIR","USA",30,,,,,,
36,"Adam SZCZEPANSKI","USA",34,,,,,,
37,"Gordon DANIELL","USA",35,,,,,,
38,"Matthew KUHN","USA",23,,,,,,
39,"Marten ROBERTS BEELS","USA",34,,,,,,
