"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2",9/8/12,"Rohrbach's Ellison Park Day 1"
1,"Nicolas BAZIN","FRA",30,1:00:25,40,40,,,
2,"Jonathan PAGE","USA",37,1:00:41,30,30,,,
3,"Justin LINDINE","USA",29,1:01:35,20,20,,,
4,"Craig RICHEY","CAN",29,1:01:54,15,15,,,
5,"Troy WELLS","USA",29,1:02:18,10,10,,,
6,"Jeremy DURRIN","USA",25,1:02:33,8,8,,,
7,"Flavien DASSONVILLE","FRA",22,1:02:55,6,6,,,
8,"Daniel CHABANOV","USA",26,1:03:37,2,2,,,
9,"Dan TIMMERMAN","USA",33,1:03:42,2,2,,,
10,"Anthony CLARK","USA",26,1:03:52,1,1,,,
11,"Chase DICKENS","USA",18,1:03:52,,,,,
12,"Robert MARION","USA",31,1:04:49,,,,,
13,"Andrew REARDON","USA",31,1:05:05,,,,,
14,"Paul MESI","USA",29,1:05:22,,,,,
15,"Stephen CUMMINGS","USA",33,1:05:38,,,,,
16,"Adam ST. GERMAIN","USA",29,1:05:48,,
17,"Wyatt STOUP","USA",23,1:06:07,,
18,"Evan HUFF","USA",28,1:06:54,,
