"Rank","Name","Nat.","Age*","Result","PaR","PcR","C1",09/29/12,"Grand Prix of Gloucester – Day 1"
1,"Jeremy POWERS","USA",30,01:00:13 AM,80,80,,,
2,"Ryan TREBON","USA",32,01:00:28 AM,60,60,,,
3,"Timothy JOHNSON","USA",36,01:00:35 AM,40,40,,,
4,"Ben BERDEN","BEL",38,01:00:52 AM,30,30,,,
5,"Ian FIELD","GBR",27,01:00:59 AM,25,25,,,
6,"James DRISCOLL","USA",27,01:01:23 AM,20,20,,,
7,"Zach MCDONALD","USA",22,01:01:50 AM,17,17,,,
8,"Nicolas BAZIN","FRA",30,01:02:07 AM,15,15,,,
9,"Brian MATTER","USA",35,01:02:12 AM,12,12,,,
10,"Jesse ANTHONY","USA",28,01:02:13 AM,10,10,,,
11,"Dylan MCNICHOLAS","USA",33,01:02:19 AM,8,8,,,
12,"Tristan SCHOUTEN","USA",31,01:02:40 AM,6,6,,,
13,"Christopher JONES","USA",34,01:03:06 AM,4,4,,,
14,"Yannick ECKMANN","GER",20,01:03:11 AM,2,2,,,
15,"Dan TIMMERMAN","USA",33,01:03:15 AM,1,1,,,
16,"Evan MCNEELY","CAN",21,01:03:25 AM,,,,,
17,"Anthony CLARK","USA",26,01:03:27 AM,,,,,
18,"Bradley WHITE","USA",31,01:03:50 AM,,,,,
19,"Travis LIVERMON","USA",25,01:03:56 AM,,,,,
20,"Justin LINDINE","USA",29,01:03:59 AM,,,,,
21,"Jeremy DURRIN","USA",25,01:04:07 AM,,,,,
22,"Barry WICKS","USA",32,01:04:11 AM,,,,,
23,"Craig RICHEY","CAN",29,01:04:13 AM,,,,,
24,"Christian FAVATA","USA",35,01:04:16 AM,,,,,
25,"Manny GOGUEN","USA",22,01:04:34 AM,,,,,
26,"Daniel CHABANOV","USA",26,01:05:07 AM,,,,,
27,"Nicholas KEOUGH","USA",24,01:05:20 AM,,,,,
28,"Adam MYERSON","USA",41,01:05:46 AM,,,,,
29,"Eric TONKIN","USA",39,01:05:51 AM,,,,,
30,"Jeffrey BAHNSON","USA",20,01:06:20 AM,,,,,
31,"Thomas SAMPSON","USA",24,01:06:26 AM,,,,,
32,"Andrew L'ESPERANCE","CAN",22,01:06:26 AM,,,,,
33,"Joël DESGRENIERS","CAN",23,01:06:26 AM,,,,,
34,"Mike GARRIGAN","CAN",32,01:06:28 AM,,,,,
35,"Sheldon MILLER","USA",39,01:06:30 AM,,,,,
36,"Adam ST. GERMAIN","USA",29,01:06:37 AM,,,,,
37,"Marc-Andre DAIGLE","CAN",32,01:06:38 AM,,,,,
38,"Michael BRODERICK","USA",40,01:06:58 AM,,,,,
39,"Chase DICKENS","USA",18,01:10:30 AM,,,,,
40,"Jesse KEOUGH","USA",21," ",,,,,
41,"Troy WELLS","USA",29," ",,,,,
42,"Garrett MCLEOD","CAN",24," ",,,,,
43,"Joshua THORNTON","USA",34," ",,,,,
44,"Jonathan SCHOTTLER","USA",28," ",,,,,
45,"Synjen MARROCCO","USA",22," ",,,,,
46,"Joachim PARBO","DEN",39," ",,,,,
47,"Luke DEMOE","USA",34," ",,,,,
48,"Mark MCCORMACK","USA",43," ",,,,,
49,"Patrick CHARTRAND","CAN",22," ",,,,,
50,"Jean-Philippe THIBAULT-ROBERGE","CAN",24," ",,,,,
51,"Benjamin PADILLA","USA",25," ",,,,,
52,"Felix WILBERG","CAN",20," ",,,,,
53,"Sylvain JEAN","CAN",35," ",,,,,
54,"Jonathan HAMBLEN","USA",38," ",,,,,
55,"Geoffrey BOUCHARD","USA",29," ",,,,,
56,"John HERRICK","USA",23," ",,,,,
57,"Evan HUFF","USA",28," ",,,,,
58,"John BURNS","USA",37," ",,,,,
59,"Charles SCHUBERT","USA",33," ",,,,,
60,"Maksym SHEPITKO","UKR",25," ",,,,,
61,"Jeffrey ELIE","USA",27," ",,,,,
62,"Matteo DAL-CIN","CAN",22," ",,,,,
63,"Johannes HUSEBY","USA",38," ",,,,,
64,"Thierry LALIBERTÉ","CAN",34," ",,,,,
65,"Alex COX","USA",26," ",,,,,
66,"Pierre-Olivier BOILY","CAN",31," ",,,,,
67,"Colin REUTER","USA",31," ",,,,,
68,"Adam SULLIVAN","USA",30," ",,,,,
69,"Ian SCHON","USA",23," ",,,,,
70,"Donny GREEN","USA",29," ",,,,,
71,"Timothy DURRIN","USA",29," ",,,,,
72,"Cary FRIDRICH","USA",30," ",,,,,
73,"Evan MURPHY","USA",25," ",,,,,
74,"Noah TAUTFEST","USA",24," ",,,,,
75,"Eric LUNDGREN","USA",29," ",,,,,
76,"Matthew GREEN","USA",24," ",,,,,
77,"Kiernan ORANGE","CAN",21," ",,,,,
78,"Donald SNOOP","USA",38," ",,,,,
79,"Andrew LYSAGHT","USA",29," ",,,,,
80,"Michael GARRETT","USA",39," ",,,,,
81,"Michael WISSELL","USA",36," ",,,,,
82,"Gordon DANIELL","USA",35," ",,,,,
83,"Alex GRABAU","USA",36,,,,,,
