Rank,Name,Nat.,Age*,Result,PaR,PcR,C2,09/15/12,Nittany Lion Cross – Day 1
1,Jeremy POWERS,USA,30,01:02:12 AM,40,40,,,
2,Jeremy DURRIN,USA,25,01:02:27 AM,30,30,,,
3,Ryan KNAPP,USA,29,01:03:09 AM,20,20,,,
4,Craig RICHEY,CAN,29,01:03:19 AM,15,15,,,
5,Ryan DEWALD,USA,34,01:03:36 AM,10,10,,,
6,Robert MARION,USA,31,01:03:55 AM,8,8,,,
7,Chase DICKENS,USA,18,01:04:37 AM,6,0*,,,
8,Thomas SAMPSON,USA,24,01:04:38 AM,4,4,,,
9,Alec DONAHUE,USA,37,01:04:41 AM,2,2,,,
10,Stephen CUMMINGS,USA,33,01:04:42 AM,1,1,,,
11,Ryan LEECH,USA,36,01:04:58 AM,,,,,
12,Edwin BULL,USA,41,01:05:00 AM,,,,,
13,Michael YOZELL,USA,44,01:05:23 AM,,,,,
14,Stephen KINCAID,USA,41,01:05:23 AM,,,,,
15,Joshua THORNTON,USA,34,01:05:27 AM,,,,,
16,Wyatt STOUP,USA,23,01:05:32 AM,,,,,
17,Anthony CLARK,USA,26,01:05:35 AM,,,,,
18,Jared NIETERS,USA,36,01:06:16 AM,,,,,
19,Maurice GAMANHO,USA,41,01:06:22 AM,,,,,
20,Michael MIHALIK,USA,31,01:06:32 AM,,,,,
21,Jeffrey BAHNSON,USA,20,01:06:36 AM,,,,,
22,William ELLISTON,USA,44,01:07:04 AM,,,,,
23,Paul MESI,USA,29,01:07:13 AM,,,,,
24,Weston SCHEMPF,USA,36,01:07:22 AM,,,,,
25,Steven ORDONS,USA,30,01:07:45 AM,,,,,
26,Maksym SHEPITKO,UKR,25,01:07:46 AM,,,,,
27,Andy BROOKS,USA,27,01:07:58 AM,,,,,
28,Colin BECKER,USA,31,01:08:14 AM,,,,,
29,Zach SEMIAN,USA,20,01:08:19 AM,,,,,
30,Forrest CONRAD,USA,19,01:08:26 AM,,,,,
31,Cameron DODGE,USA,22,01:08:33 AM,,,,,
32,Jordan VILLELLA,USA,31,01:08:55 AM,,,,,
33,Patrick BRADLEY,USA,23,01:09:12 AM,,,,,
34,Eric LUNDGREN,USA,29,01:09:24 AM,,,,,
35,Christopher CONSORTO,USA,29, ,,,,,
36,Kyle PEPPO,USA,33, ,,,,,
37,Mike FESTA,USA,30, ,,,,,
38,Andrew LOGIUDICE,USA,25, ,,,,,
39,Martin KELL,USA,26, ,,,,,
40,Timothy RUGG,USA,28,,,,,,
