"Rank","Name","Nat.","Age*","Result","PaR","PcR","C1",9/16/12,"Supercross Baden"
1,"Francis MOUREY","FRA",33,1:04:05,80,80,,,
2,"Lukas FLÜCKIGER","SUI",29,1:04:22,60,60,,,
3,"Enrico FRANZOI","ITA",31,1:04:44,40,40,,,
4,"Mathias FLÜCKIGER","SUI",25,1:04:51,30,30,,,
5,"Simon ZAHNER","SUI",30,1:04:59,25,25,,,
6,"Philipp WALSLEBEN","GER",26,1:05:15,20,20,,,
7,"Steve CHAINEL","FRA",30,1:05:22,17,17,,,
8,"Arnaud GRAND","SUI",23,1:05:25,15,15,,,
9,"Thijs VAN AMERONGEN","NED",27,1:05:38,12,12,,,
10,"Martin BINA","CZE",30,1:06:04,10,10,,,
11,"Sven NYS","BEL",37,1:06:05,8,8,,,
12,"Jerome CHEVALLIER","FRA",39,1:06:28,6,6,,,
13,"Sven VANTHOURENHOUT","BEL",32,1:06:46,4,4,,,
14,"Marcel WILDHABER","SUI",28,1:06:55,2,2,,,
15,"Lars FORSTER","SUI",20,1:07:04,1,1,,,
16,"Lukas WINTERBERG","SUI",25,1:07:11
17,"Marco PONTA","ITA",26,1:07:21
18,"Thomas PACCAGNELLA","ITA",29,1:07:30
19,"Julien TARAMARCAZ","SUI",26,1:07:33
20,"Egoitz MURGOITIO REKALDE","ESP",30,1:07:41
21,"Andreas MOSER","SUI",29,1:07:43
22,"Jonathan LASTRA MARTINEZ","ESP",20,1:07:50
23,"Michael (JR) SCHWEIZER","GER",22,1:07:58
24,"Nico BRÜNGGER","SUI",25,1:08:10
25,"Lukas MÜLLER","SUI",21,1:08:18
26,"Marc STUTZMANN","SUI",22,1:08:24
27,"Severin SAGESSER","SUI",21,1:08:39
28,"David KASEK","CZE",31,1:08:50
29,"Fabian LIENHARD","SUI",20,1:08:59
30,"Vaclav METLICKA","SVK",40,1:09:20
31,"Michael WILDHABER","SUI",23,1:09:32
32,"Rene LANG","SUI",27,1:09:57
33,"Bryan FALASCHI","ITA",22,1:10:11
34,"Julien PION","FRA",27,1:11:09
35,"Igor SMARZARO","ITA",22,
36,"Melvin RULLIERE","FRA",24,
37,"Jonas BAUMANN","SUI",28,
38,"Stefan ACHERMANN","SUI",25,
39,"Yari CISOTTO","ITA",21,
