"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2",09/28/12,"Toi Toi Cup #2"
1,"Martin BINA","CZE",30,57:05:00,40,40,,,
2,"Michael BOROS","CZE",21,57:40:00,30,30,,,
3,"Jakub SKALA","CZE",20,57:40:00,20,20,,,
4,"Jan NESVADBA","CZE",22,57:42:00,15,15,,,
5,"Robert GAVENDA","SVK",25,57:49:00,10,10,,,
6,"Jiri POLNICKY","CZE",24,57:49:00,8,8,,,
7,"Petr DLASK","CZE",37,57:49:00,6,6,,,
8,"Ondrej BAMBULA","CZE",26,57:49:00,4,4,,,
9,"Martin HARING","SVK",27,57:49:00,2,2,,,
10,"Vojtech NIPL","CZE",20,58:06:00,1,1,,,
11,"Tomas PAPRSTKA","CZE",21,58:12:00,,,,,
12,"David KASEK","CZE",31,58:28:00,,,,,
13,"Zdenek MLYNAR","CZE",37,58:37:00,,,,,
14,"Matej LASAK","CZE",21,59:01:00,,,,,
15,"Vaclav METLICKA","SVK",40,59:13:00,,,,,
16,"Vladimir KYZIVAT","CZE",31,59:15:00,,,,,
17,"Filip ADEL","CZE",23,59:25:00,,,,,
18,"Radek POLNICKY","CZE",21,59:59:00,,,,,
19,"Christoph PFINGSTEN","GER",26,01:00:43 AM,,,,,
20,"Karel NEPRAS","CZE",23,01:01:55 AM,,,,,
21,"Petr HAMPL","CZE",20,01:02:48 AM,,,,,
22,"Tomas PODRAZIL","CZE",28," ",,,,,
23,"Stanislav BAMBULA","CZE",30," ",,,,,
24,"Tomas NOVACEK","CZE",19," ",,,,,
25,"Jakub RYDVAL","CZE",19," ",,,,,
26,"Michal MALÍK","CZE",24," ",,,,,
27,"Michael KUKRLE","CZE",19," ",,,,,
28,"Karl Heinz GOLLINGER","AUT",30," ",,,,,
29,"Tomáš JANOŠEK","CZE",25," ",,,,,
30,"Grzegorz GRABAREK","POL",24," ",,,,,
31,"Tomáš JAKL","CZE",19," ",,,,,
32,"Lukáš MITAS","CZE",21," ",,,,,
33,"Jan BREZNA","CZE",19," ",,,,,
34,"Zbynek HOLUBOVSKÝ","CZE",20," ",,,,,
35,"Tomáš HAVELKA","CZE",24," ",,,,,
36,"Roland MÖRX","AUT",41," ",,,,,
37,"Tomas HOLICKY","CZE",25," ",,,,,
38,"Bretislav ROHEL","CZE",23," ",,,,,
39,"Václav SVATOŠ","CZE",27," ",,,,,
40,"Jakub SAFAR","CZE",19," ",,,,,
41,"Marcel KACHLÍR","CZE",42," ",,,,,
42,"Tomáš NOVÝ","CZE",24,,,,,,
