"Rank","Name","Nat.","Age*","Result","PaR","PcR","C2","09/23/12","USGP Round 2"
1,"Lukas FLÜCKIGER","SUI",29,59:54:00,40,40,,,
2,"Ryan TREBON","USA",32,01:00:03,30,30,,,
3,"Jeremy POWERS","USA",30,01:00:15,20,20,,,
4,"Christopher JONES","USA",34,01:00:32,15,15,,,
5,"Timothy JOHNSON","USA",36,01:00:55,10,10,,,
6,"Ben BERDEN","BEL",38,01:01:09,8,8,,,
7,"James DRISCOLL","USA",27,01:01:11,6,6,,,
8,"Jonathan PAGE","USA",37,01:01:50,4,4,,,
9,"Brian MATTER","USA",35,01:01:59,2,2,,,
10,"Zach MCDONALD","USA",22,01:02:08,1,1,,,
11,"Yannick ECKMANN","GER",20,01:02:15,,,,,
12,"Evan MCNEELY","CAN",21,01:02:17,,,,,
13,"Tristan SCHOUTEN","USA",31,01:02:26,,,,,
14,"Matt SHRIVER","USA",33,01:02:49,,,,,
15,"Bryan FAWLEY","USA",28,01:03:08,,,,,
16,"Josh JOHNSON","USA",37,01:03:17,,,,,
17,"Travis LIVERMON","USA",25,01:03:34,,,,,
18,"Mitchell HOKE","USA",25,01:03:38,,,,,
19,"Jake WELLS","USA",35,01:03:41,,,,,
20,"Mitchell KERSTING","USA",28,01:03:47,,,,,
21,"Bradley WHITE","USA",31,01:03:49,,,,,
22,"Isaac NEFF","USA",27,01:03:51,,,,,
23,"Kevin FISH","USA",21,01:03:58,,,,,
24,"Jacob LASLEY","USA",36,01:04:08,,,,,
25,"Tobin ORTENBLAD","USA",19,01:04:13,,,,,
26,"Shawn MILNE","USA",32,01:04:26,,,,,
27,"Corey STELLJES","USA",33,01:04:27,,,,,
28,"Kevin BRADFORD-PARISH","USA",31,01:04:33,,,,,
29,"Andrew REARDON","USA",31,01:04:41,,,,,
30,"Mark SAVERY","USA",42,01:04:50,,,,,
31,"Sven BAUMANN","GER",33,01:04:56,,,,,
32,"Chris JACKSON","USA",25,01:05:10,,,,,
33,"Cody KAISER","USA",21,01:05:18,,,,,
34,"Chad HARTLEY","USA",32,01:05:18,,,,,
35,"Will BLACK","USA",46,01:05:22,,,,,
36,"Paul MUMFORD","USA",29,01:05:26,,,,,
37,"Craig FAULKNER","USA",39,01:05:40,,,,,
38,"Braden KAPPIUS","USA",26,01:05:45,,,,,
39,"Joseph MALONEY","USA",23,01:05:53,,,,,
40,"Mark PARMELEE","USA",31,01:06:00,,,,,
41,"Scott MCLAUGHLIN","USA",44,,,,,,
42,"Jason SIEGLE","USA",34,,,,,,
43,"Christopher BOGEDIN","USA",24,,,,,,
44,"Michael HEMME","USA",34,,,,,,
45,"Adam YORK","USA",29,,,,,,
46,"Andre SUTTON","CAN",42,,,,,,
47,"Daniel GEROW","USA",22,,,,,,
48,"Jesse RIENTS","USA",36,,,,,,
49,"Joshua ROESER","USA",37,,,,,,
50,"Kenny WEHN","USA",44,,,,,,
51,"Dallas FOWLER","USA",26,,,,,,
52,"Bill STREET","USA",28,,,,,,
53,"Micah MORAN","USA",31,,,,,,
54,"Raymond SMITH","USA",28,,,,,,
55,"David REYES","USA",29,,,,,,
56,"Dan TEATERS","USA",29,,,,,,
57,"Brandon CROSS","USA",27,,,,,,
58,"Oliver VRAMBOUT","USA",39,,,,,,
59,"Luke HALEY","USA",19,,,,,,
60,"Tom BURKE","USA",34,,,,,,
61,"Mitch NORDAHL","USA",20,,,,,,
